"station","date","max"
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-21,77
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-22,77
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-23,63
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-24,67
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-25,68
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-26,70
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-27,73
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-28,65
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-29,40
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-30,48
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-01,60
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-02,64
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-03,63
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-04,62
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-05,71
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-06,70
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-07,57
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-08,54
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-09,56
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-10,53
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-11,51
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-12,50
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-13,68
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-14,70
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-15,72
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-16,72
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-17,53
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-18,55
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-19,60
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-20,59
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-21,66
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-22,68
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-23,57
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-24,58
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-25,50
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-26,53
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-27,52
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-28,53
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-29,57
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-30,65
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-12-31,66
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-01,65
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-02,48
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-03,35
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-04,52
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-05,62
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-06,67
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-07,69
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-08,61
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-09,66
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-10,62
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-11,63
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-12,59
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-13,39
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-14,53
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-15,55
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-16,58
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-17,63
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-18,53
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-19,56
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-20,61
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-21,64
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-22,56
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-23,60
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-24,64
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-25,68
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-26,71
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-27,62
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-28,64
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-29,55
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-30,62
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-01-31,65
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-01,67
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-02,67
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-03,62
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-04,70
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-05,70
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-06,58
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-07,62
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-08,59
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-09,53
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-10,50
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-11,45
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-12,40
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-13,55
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-14,48
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-15,66
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-16,61
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-17,66
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-18,61
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-19,54
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-20,58
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-21,62
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-22,66
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-23,76
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-24,70
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-25,55
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-26,61
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-27,66
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-28,62
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-02-29,70
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-01,77
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-02,77
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-03,67
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-04,53
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-05,57
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-06,61
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-07,66
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-08,76
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-09,68
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-10,65
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-11,68
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-12,66
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-13,75
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-14,81
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-15,82
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-16,83
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-17,82
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-18,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-19,83
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-20,83
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-21,77
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-22,77
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-23,71
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-24,74
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-25,72
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-26,81
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-27,77
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-28,81
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-29,80
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-30,79
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-03-31,78
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-01,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-02,85
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-03,87
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-04,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-05,73
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-06,65
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-07,73
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-08,78
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-09,80
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-10,80
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-11,67
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-12,65
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-13,74
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-14,77
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-15,81
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-16,73
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-17,81
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-18,68
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-19,69
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-20,69
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-21,77
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-22,66
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-23,60
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-24,68
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-25,81
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-26,83
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-27,80
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-28,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-29,87
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-04-30,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-01,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-02,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-03,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-04,85
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-05,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-06,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-07,80
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-08,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-09,69
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-10,74
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-11,78
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-12,76
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-13,69
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-14,80
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-15,81
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-16,83
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-17,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-18,81
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-19,83
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-20,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-21,85
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-22,79
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-23,82
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-24,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-25,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-26,93
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-27,89
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-28,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-29,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-30,91
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-05-31,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-01,80
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-02,78
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-03,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-04,80
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-05,76
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-06,81
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-07,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-08,85
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-09,86
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-10,76
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-11,80
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-12,86
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-13,89
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-14,85
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-15,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-16,83
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-17,85
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-18,87
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-19,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-20,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-21,89
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-22,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-23,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-24,93
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-25,93
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-26,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-27,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-28,98
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-29,104
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-06-30,106
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-01,105
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-02,93
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-03,99
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-04,98
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-05,100
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-06,98
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-07,93
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-08,95
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-09,97
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-10,95
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-11,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-12,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-13,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-14,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-15,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-16,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-17,93
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-18,93
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-19,91
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-20,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-21,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-22,95
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-23,97
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-24,97
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-25,98
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-26,98
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-27,97
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-28,97
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-29,94
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-30,96
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-07-31,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-01,94
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-02,99
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-03,94
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-04,87
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-05,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-06,86
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-07,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-08,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-09,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-10,87
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-11,85
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-12,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-13,91
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-14,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-15,85
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-16,91
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-17,87
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-18,87
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-19,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-20,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-21,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-22,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-23,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-24,86
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-25,85
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-26,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-27,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-28,80
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-29,86
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-30,80
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-08-31,89
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-01,91
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-02,89
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-03,85
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-04,77
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-05,85
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-06,85
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-07,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-08,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-09,83
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-10,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-11,83
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-12,81
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-13,81
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-14,83
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-15,87
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-16,86
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-17,83
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-18,79
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-19,81
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-20,79
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-21,85
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-22,87
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-23,81
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-24,78
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-25,82
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-26,86
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-27,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-28,86
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-29,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-09-30,72
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-10-01,75
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-10-02,72
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-10-03,74
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-10-04,82
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-10-05,82
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-10-06,83
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-10-07,68
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-10-08,63
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-10-09,70
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2012-10-10,73
