"station","date","max"
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-03-16,59
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-03-17,76
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-03-18,82
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-03-19,82
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-03-20,68
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-03-21,78
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-03-22,81
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-03-23,79
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-03-24,70
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-03-25,68
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-03-26,60
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-03-27,58
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-03-28,50
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-03-29,53
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-03-30,60
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-03-31,56
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-01,58
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-02,69
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-03,79
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-04,83
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-05,62
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-06,71
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-07,75
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-08,79
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-09,86
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-10,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-11,82
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-12,71
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-13,75
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-14,76
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-15,72
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-16,66
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-17,74
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-18,78
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-19,85
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-20,77
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-21,82
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-22,71
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-23,78
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-24,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-25,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-26,80
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-27,85
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-28,70
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-29,75
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-04-30,80
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-01,80
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-02,81
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-03,83
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-04,66
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-05,67
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-06,73
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-07,77
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-08,82
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-09,85
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-10,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-11,89
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-12,89
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-13,85
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-14,77
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-15,66
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-16,64
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-17,64
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-18,67
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-19,79
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-20,87
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-21,89
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-22,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-23,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-24,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-25,91
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-26,86
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-27,82
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-28,87
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-29,91
